,class,language,question
1293,LOCATION,it,Qual è il nome argentino delle Isole Falkland?
1294,LOCATION,es,¿Cómo se llaman las Islas Falkland?
1295,LOCATION,en,What's the Argentinian name for the Falkland Islands?
1296,PERSON,nl,Wie is de schrijver van Star Trek?
1297,PERSON,it,"Chi è l'autore di ""Star Trek""?"
1298,PERSON,es,"¿Quién escribió ""Star Trek""?"
1299,PERSON,en,Who wrote Star Trek?
1300,OBJECT,nl,Noem een aidsremmend middel.
1301,OBJECT,it,Nomina un medicinale per il trattamento dell'AIDS.
1302,OBJECT,es,Dar el nombre de algún tratamiento contra el SIDA.
1303,OBJECT,en,Name an AIDS treatment.
1304,MEASURE,nl,Hoe vaak in zijn leven moet een moslim de pelgrimstocht naar Mekka maken?
1305,MEASURE,it,Quante volte nella loro vita i musulmani dovrebbero andare in pellegrinaggio alla Mecca?
1306,MEASURE,es,¿Cuántas veces en su vida los musulmanes deberían hacer un peregrinaje a la Meca?
1307,MEASURE,en,How often in their lives should Muslims make a pilgrimage to Mecca?
1308,DATE,nl,Wanneer werd Ierland opgedeeld?
1309,DATE,it,Quando venne divisa l'Irlanda?
1310,DATE,es,¿Cuándo fue separada Irlanda?
1311,DATE,en,When was Ireland separated?
1312,MEASURE,nl,Hoeveel passagiers moesten het schip verlaten nadat op de Regent Star brand was uitgebroken?
1313,MEASURE,it,"Quanti passeggeri dovettero abbandonare la nave dopo che la ""Regent Star"" si incendiò?"
1314,MEASURE,es,"¿Cuántos pasajeros tuvieron que abandonar el ""Regent Star"" tras incendiarse el barco?"
1315,MEASURE,en,How many passengers had to abandon ship after fire broke out on the Regent Star?
1316,PERSON,nl,Wie is de geestelijke vader van Doctor Snuggles?
1317,PERSON,it,Chi è il creatore di Doctor Snuggles?
1318,PERSON,es,"¿Quién es el creador de ""Doctor Snuggles""?"
1319,PERSON,en,Who is the creator of Doctor Snuggles?
1320,DATE,nl,Wanneer kreeg Rusland een nieuwe grondwet?
1321,DATE,it,Quando venne adottata una nuova costituzione in Russia?
1322,DATE,es,¿Cuándo adoptó Rusia la nueva constitución?
1323,DATE,en,When did Russia adopt a new constitution?
1324,PERSON,nl,Welke Britse premier bezocht Zuid-Afrika in 1960?
1325,PERSON,it,Quale primo ministro britannico visitò il Sud Africa nel 1960?
1326,PERSON,es,¿Qué primer ministro británico visitó Sudáfrica en 1960?
1327,PERSON,en,Which British prime minister visited South-Africa in 1960?
1328,OBJECT,nl,Noem een medicijn tegen malaria.
1329,OBJECT,it,Nomina un farmaco anti-malarico.
1330,OBJECT,es,Dar el nombre de un medicamento contra la malaria.
1331,OBJECT,en,Name an anti-malarial drug.
1332,PERSON,nl,Wie is de leider van de Nation of Islam?
1333,PERSON,it,Chi è il capo della Nazione dell'Islam?
1334,PERSON,es,¿Quién es el líder de Nación del Islam?
1335,PERSON,en,Who is the leader of the Nation of Islam?
1336,PERSON,nl,Wie vermoordden de Colombiaanse voetballer Andres Escobar?
1337,PERSON,it,Chi ha ucciso il giocatore di calcio colombiano Andres Escobar?
1338,PERSON,es,"¿Quién mató a Andrés Escobar, un jugador de fútbol colombiano?"
1339,PERSON,en,"Who killed Andres Escobar, the Colombian soccer player?"
1340,PERSON,nl,Welke Britse staatsburger kreeg 50 zweepslagen toegediend in Quatar?
1341,PERSON,it,Quale cittadino britannico è stato punito con 50 frustate in Qatar?
1342,PERSON,es,¿Qué ciudadano británico recibió 50 latigazos en Qatar?
1343,PERSON,en,Which British citizen was administered 50 whip lashes in Qatar?
1344,ORGANIZATION,nl,Hoe heet de Israelische binnenlandse veiligheidsdienst?
1345,ORGANIZATION,it,Come si chiama il servizio di sicurezza interno israeliano?
1346,ORGANIZATION,es,¿Cómo se llama el servicio de seguridad nacional de Israel?
1347,ORGANIZATION,en,What is the Israeli internal security service called?
1348,PERSON,nl,Wie zijn de leiders van de Orde van de Zonnetempel?
1349,PERSON,it,Chi sono i capi dell'Ordine del Tempio Solare?
1350,PERSON,es,¿Quiénes son los líderes de la orden del Templo del Sol?
1351,PERSON,en,Who are the leaders of the Order of the Solar Temple?
1352,MEASURE,nl,Op welke leeftijd overleed Thomas 'Tip' O'Neill?
1353,MEASURE,it,A quale età morì Thomas 'Tip' O'Neill?
1354,MEASURE,es,"¿A qué edad murió Thomas ""Tip"" O'Neill?"
1355,MEASURE,en,At what age did Thomas 'Tip' O'Neill die?
1356,PERSON,nl,Wie is ooit de Mussolini van de media genoemd?
1357,PERSON,it,Chi è stato definito il Mussolini dei media?
1358,PERSON,es,¿Quién fue llamado el Mussolini de los medios de comunicación?
1359,PERSON,en,Who has been called the Mussolini of the media?
1360,LOCATION,nl,Welk land legaliseerde in 1994 de videorecorder?
1361,LOCATION,it,Quale paese legalizzò il videoregistratore nel 1994?
1362,LOCATION,es,¿Qué país legalizó la grabadora de vídeo en 1994?
1363,LOCATION,en,Which country legalized the video recorder in 1994?
1364,PERSON,nl,Hoe luidt de voornaam van de vrouw van Nelson Mandela?
1365,PERSON,it,Qual è il nome di battesimo della moglie di Nelson Mandela?
1366,PERSON,es,¿Cuál es el nombre de pila de la mujer de Nelson Mandela?
1367,PERSON,en,What is the first name of Nelson Mandela's wife?
1368,MEASURE,nl,Hoe hoog is de top van de Alto Cruz de la Demanda?
1369,MEASURE,it,Quanto è alto l'Alto Cruz de la Demanda?
1370,MEASURE,es,¿Qué altura tiene el Alto Cruz de la Demanda?
1371,MEASURE,en,How tall is the Alto Cruz de la Demanda?
1372,MEASURE,nl,Hoe oud is het Bolshoi Theater?
1373,MEASURE,it,Quanti anni ha il teatro Bolshoi?
1374,MEASURE,es,¿Cuántos años tiene el teatro Bolshoi?
1375,MEASURE,en,How old is the Bolshoi Theater?
1376,DATE,nl,Wanneer heersten de Fransen in Vietnam?
1377,DATE,it,Quando governarono il Vietnam i Francesi?
1378,DATE,es,¿Cuándo gobernaron los franceses en Vietnam?
1379,DATE,en,When did the French rule Vietnam?
1380,PERSON,nl,Hoe heet de directeur van de CIA?
1381,PERSON,it,Chi è il direttore della CIA?
1382,PERSON,es,¿Quién es el director de la CIA?
1383,PERSON,en,Who is the director of the CIA?
1384,DATE,nl,Wanneer leefde Piet Mondriaan?
1385,DATE,it,Quando visse Piet Mondrian?
1386,DATE,es,¿Cuándo vivió Piet Mondriaan?
1387,DATE,en,When did Piet Mondriaan live?
1388,DATE,nl,Wanneer begon de Europese Economische en Monetaire Unie (EMU)?
1389,DATE,it,Quando inizierà l'Unione Monetaria Europea (UME)?
1390,DATE,es,¿Cuándo comenzó la Unión Monetaria Europea (UME)?
1391,DATE,en,When did the European Monetary Union (EMU) start?
1392,MEASURE,nl,Welk deel van de wereldhandel in cocaïne wordt gecontroleerd door het kartel van Cali?
1393,MEASURE,it,Quanto del traffico mondiale di cocaina è controllato dal cartello di Cali?
1394,MEASURE,es,¿Qué porcentaje del comercio mundial de drogas está controlado por el Cártel de Cali?
1395,MEASURE,en,How much of the world trade in cocaine is controlled by the Cali cartel?
1396,MEASURE,nl,Hoe hoog is de Matterhorn?
1397,MEASURE,it,Quanto è alto il Matterhorn?
1398,MEASURE,es,¿Qué altura tiene el Cervino?
1399,MEASURE,en,How tall is Matterhorn?
1400,MEASURE,nl,Hoeveel mensen overleefden het vernietigingskamp Auschwitz?
1401,MEASURE,it,Quante persone sono sopravvissute al campo di concentramento di Auschwitz?
1402,MEASURE,es,¿Cuánta gente sobrevivió al campo de concentración de Auschwitz?
1403,MEASURE,en,How many people survived the Auschwitz concentration camp?
1404,LOCATION,nl,Bij welk metrostation in Tokio vond een aanslag met het gifgas sarin plaats?
1405,LOCATION,it,In quale stazione metropolitana di Tokyo avvenne l'attentato con il gas sarin?
1406,LOCATION,es,¿En qué estación del metro de Tokio hubo un atentado con gas sarín?
1407,LOCATION,en,The sarin gas attack took place at which subway station in Tokio?
1408,MEASURE,nl,Voor hoeveel doden wordt de Rode Khmer verantwoordelijk gehouden?
1409,MEASURE,it,Di quante morti sono ritenuti responsabili i Khmer Rossi?
1410,MEASURE,es,¿De cuántas muertes son responsables los Jemeres Rojos?
1411,MEASURE,en,The Khmer Rouge is held responsible for how many deaths?
1412,PERSON,nl,Noem een journalist die door de Gewapende Islamitische Groep (GIA) is vermoord.
1413,PERSON,it,Nomina un giornalista assassinato dal Gruppo Islamico Armato (GIA).
1414,PERSON,es,Dar el nombre de un periodista asesinado por el Grupo Islámico Armado (GIA).
1415,PERSON,en,Name a journalist murdered by the Armed Islamic Group (GIA).
1416,ORGANIZATION,nl,Welk bedrijf heeft de autoproducent Rover overgenomen?
1417,ORGANIZATION,it,Quale compagnia ha rilevato la casa automobilistica Rover?
1418,ORGANIZATION,es,¿Qué empresa ha comprado a la fabricante de coches Rover?
1419,ORGANIZATION,en,"Which company took over Rover, the car producer?"
1420,LOCATION,nl,Noem een land of regio waar het Ebola-virus is aangetroffen.
1421,LOCATION,it,Nomina un paese o regione dove è stato individuato il virus Ebola.
1422,LOCATION,es,Dar el nombre de un país o región en el que se haya encontrado el virus ébola.
1423,LOCATION,en,Name a country or region where the Ebola virus has been found.
1424,DATE,nl,In welk jaar werd het testen van biologische en giftige wapens verboden?
1425,DATE,it,In quale anno furono banditi i test di armi biologiche e tossiche?
1426,DATE,es,¿En qué año fueron prohibidas las pruebas de armas biológicas y tóxicas?
1427,DATE,en,Tests of biological and toxin weapons were banned in which year?
1428,PERSON,nl,"Welke tennisspeler wordt wel de ""Big Mac"" genoemd?"
1429,PERSON,it,"Quale giocatore di tennis è conosciuto come ""Big Mac""?"
1430,PERSON,es,"¿Qué tenista es conocido con el sobrenombre de ""Big Mac""?"
1431,PERSON,en,"Which tennis player is known as ""Big Mac""?"
1432,LOCATION,nl,Noem een eiland in de Oostelijke Sporaden.
1433,LOCATION,it,Nomina una delle isole che compongono l'arcipelago delle Sporadi Orientali.
1434,LOCATION,es,Dar el nombre de una de las islas que forman el archipiélago de las Espóradas Occidentales.
1435,LOCATION,en,Name one of the islands that make up the Eastern Sporades Islands.
1436,LOCATION,nl,Waar ligt Basra?
1437,LOCATION,it,Dove si trova Bassora?
1438,LOCATION,es,¿Dónde está Basora?
1439,LOCATION,en,Where is Basra?
1440,OTHER,nl,Waar staat RSA voor?
1441,OTHER,it,Per che cosa sta la sigla RSA?
1442,OTHER,es,¿A qué equivalen las siglas RSA?
1443,OTHER,en,What does RSA stand for?
1444,OTHER,nl,Hoe begon Diana Ross haar professionele carriere?
1445,OTHER,it,Come iniziò la sua carriera professionale Diana Ross?
1446,OTHER,es,¿En qué grupo comenzó Diana Ross su carrera profesional?
1447,OTHER,en,How did Diana Ross start her professional career?
1448,DATE,nl,Wanneer werden patrouillevliegtuigen van het type Nimrod in dienst genomen?
1449,DATE,it,Quando vennero impiegati per la prima volta gli aerei da ricognizione Nimrod?
1450,DATE,es,¿Cuándo fueron utilizados por primera vez los aviones de reconocimiento Nimrod?
1451,DATE,en,When were Nimrod reconnaissance planes first used?
1452,MEASURE,nl,Hoeveel eilanden heeft Indonesië?
1453,MEASURE,it,Da quante isole è composta l'Indonesia?
1454,MEASURE,es,¿Cuántas islas componen Indonesia?
1455,MEASURE,en,Indonesia consists of how many islands?
1456,PERSON,nl,"Welke ETA-terroriste heeft de bijnaam ""De Tijgerin""?"
1457,PERSON,it,"Quale terrorista donna dell'ETA è anche conosciuta come ""la tigre""?"
1458,PERSON,es,"¿Qué terrorista de ETA es conocida como ""La Tigresa""?"
1459,PERSON,en,"Which female ETA terrorist is also known as ""The Tigress""?"
1460,OTHER,nl,Hoe kwam Frederick West om het leven?
1461,OTHER,it,Come morì Frederick West?
1462,OTHER,es,¿Cómo murió Frederick West?
1463,OTHER,en,How did Frederick West die?
1464,LOCATION,nl,Wat is het rijkste land ter wereld?
1465,LOCATION,it,Qual è il paese più ricco del mondo?
1466,LOCATION,es,¿Cuál es el país más rico del mundo?
1467,LOCATION,en,What is the richest country in the world?
1468,DATE,nl,Wanneer overleed Mao Zedong?
1469,DATE,it,Quando è morto Mao Tse-Tung?
1470,DATE,es,¿Cuándo murió Mao Zedong?
1471,DATE,en,When did Mao Zedong die?
1472,MEASURE,nl,Hoeveel inwoners telt Uttar Pradesh?
1473,MEASURE,it,Quanti abitanti ha l'Uttar Pradesh?
1474,MEASURE,es,¿Cuántos habitantes tiene Uttar Pradesh?
1475,MEASURE,en,How many inhabitants doe Uttar Pradesh?
1476,OTHER,nl,Wat was de oorzaak van een brand in een bioscoop in de Chinese stad Karamay?
1477,OTHER,it,Che cosa ha causato un incendio in un cinema della città cinese di Karamay?
1478,OTHER,es,¿Qué causó el incendio en un cine en la ciudad china de Karamai?
1479,OTHER,en,What caused a fire in a cinema in the Chinese city of Karamay?
1480,OBJECT,nl,Wat is de naam van Richard Branson's cola?
1481,OBJECT,it,Come si chiama la cola di Richard Branson?
1482,OBJECT,es,¿Cómo se llama el refresco de cola de Richard Branson?
1483,OBJECT,en,What's the name of Richard Branson's cola?
1484,LOCATION,nl,In welk land worden buzkashi-wedstrijden gehouden?
1485,LOCATION,it,In quale paese si tengono le partite di buzkashi?
1486,LOCATION,es,¿En que país se celebran competiciones de buzkashi?
1487,LOCATION,en,Buzkashi contests are held in which country?
1488,DATE,nl,Wanneer werd Malta onafhankelijk?
1489,DATE,it,In quale giorno Malta divenne indipendente?
1490,DATE,es,¿En qué fecha Malta logró su independecia?
1491,DATE,en,What is the date of Malta's independence?
1492,OBJECT,nl,In de Floating Point Unit van welke chip werd een fout ontdekt?
1493,OBJECT,it,Un errore venne scoperto nella FPU di quale chip?
1494,OBJECT,es,¿En qué tipo de procesador se descubrió un error en la unidad aritmética?
1495,OBJECT,en,A bug was discovered in the Floating Point Unit of which chip?
1496,OTHER,nl,Welke Nobelprijs ontving Kenzaburo Oe de Nobelprijs?
1497,OTHER,it,Con quale Premio Nobel è stato premiato Kenzaburo Oe?
1498,OTHER,es,¿Qué premio nobel consiguió Kenzaburo Oe?
1499,OTHER,en,What Nobel Prize was Kenzaburo Oe awarded?
1500,PERSON,nl,Welke Iraakse nucleair deskundige verdween in de Griekse hoofdstad Athene?
1501,PERSON,it,Quale esperto nucleare iracheno scomparve nella capitale greca Atene?
1502,PERSON,es,"¿Qué experto nuclear iraquí desapareció en Atenas, la capital griega?"
1503,PERSON,en,"Which Iraqi nuclear expert disappeared in Athens, the Greek capital?"
1504,OTHER,nl,Wat is de latijnse naam van de Arabische oryx?
1505,OTHER,it,Qual è il nome scientifico dell'orice d'Arabia?
1506,OTHER,es,¿Cuál es el nombre científico del órice de Arabia?
1507,OTHER,en,What is the scientific name for the Arabic oryx?
1508,PERSON,nl,Wie is de president van Zuid-Korea?
1509,PERSON,it,Chi è il presidente della Corea del Sud?
1510,PERSON,es,¿Quién es el presidente de Corea del Sur?
1511,PERSON,en,Who is the president of South Korea?
1512,MEASURE,nl,Hoeveel pagina's telt Albert Einsteins oudste manuscript over de relativiteitstheorie?
1513,MEASURE,it,Quante pagine ci sono nel più vecchio manoscritto di Albert Einstein sulla Teoria della Relatività?
1514,MEASURE,es,¿Cuántas páginas tiene el manuscrito de la teoría de la relatividad más antiguo de Einstein?
1515,MEASURE,en,How many pages are in Albert Einstein's oldest manuscript on the theory of relativity?
1516,ORGANIZATION,nl,Wie produceert de 'Smart-Car'?
1517,ORGANIZATION,it,Chi produce la 'Smart'?
1518,ORGANIZATION,es,¿Qué empresas fabrican el 'Smart'?
1519,ORGANIZATION,en,Who produces the 'Smart-Car'?
1520,MEASURE,nl,Hoeveel bedraagt het staatspensioen in Zuid-Afrika?
1521,MEASURE,it,A quanto ammonta la pensione statale in Sudafrica?
1522,MEASURE,es,¿A cuánto asciende la pensión estatal en Sudáfrica?
1523,MEASURE,en,How much is the state pension in South Africa?
1524,LOCATION,nl,Wat is de hoofdstad van Maleisië?
1525,LOCATION,it,Qual è la capitale della Malaysia?
1526,LOCATION,es,¿Cuál es la capital de Malasia?
1527,LOCATION,en,What is the capital of Malaysia?
1528,OTHER,nl,"Wat is de afkorting voor ""polyethylene terephthalate""?"
1529,OTHER,it,"Qual è l'abbreviazione per ""polietilene tereftalato""?"
1530,OTHER,es,"¿Cual es la abrevitura del ""polietileno tereftalato""?"
1531,OTHER,en,"What is the abbreviation for ""polyethylene terephthalate""?"
1532,LOCATION,nl,"Welk land wordt ook wel ""De Lage Landen"" genoemd?"
1533,LOCATION,it,"Quale paese è anche conosciuto come ""Paesi Bassi""?"
1534,LOCATION,es,¿Qué país es conocido como los Países Bajos?
1535,LOCATION,en,"What country is also known as ""The Low Countries""?"
1536,LOCATION,nl,Waar bevindt zich de Klaagmuur?
1537,LOCATION,it,Dove si trova il Muro del Pianto?
1538,LOCATION,es,¿Dónde está el Muro de las Lamentaciones?
1539,LOCATION,en,Where is the Wailing Wall?
1540,MEASURE,nl,Wat is het serienummer van de Steinway-vleugel van de pianist Vladimir Horowitz?
1541,MEASURE,it,Qual è il numero di serie del pianoforte Steinway che un tempo apparteneva al pianista Vladimir Horowitz?
1542,MEASURE,es,¿Cuál es el número de serie del piano Steinway que perteneció al pianista Vladimir Horowitz?
1543,MEASURE,en,"What is the serial number of the Steinway piano once owned by Vladimir Horowitz, the pianist?"
1544,MEASURE,nl,Hoe groot is het risico op een hartinfarct in Noordeuropese landen?
1545,MEASURE,it,Quanto è alto il rischio di un attacco di cuore nei paesi dell'Europa Settentrionale?
1546,MEASURE,es,¿Cuál es la tasa de ataque al corazón en los países del norte de Europa?
1547,MEASURE,en,What is the risk of a hart attack in northern European countries?
1548,OTHER,nl,Noem een film van Spike Lee.
1549,OTHER,it,Nomina un film di Spike Lee.
1550,OTHER,es,Dar el nombre de alguna película de Spike Lee.
1551,OTHER,en,Name a movie made by Spike Lee.
1552,MEASURE,nl,Hoeveel politieke partijen deden mee aan de eerste gemeenteraadsverkiezingen in Zuid-Afrika?
1553,MEASURE,it,Quanti partiti politici hanno partecipato alle prime elezioni politiche in Sudafrica?
1554,MEASURE,es,¿Cuántos partidos políticos participaron en las primeras elecciones locales de la historia en Sudáfrica?
1555,MEASURE,en,How many political parties took part in the first ever local government elections in South Africa?
1556,OTHER,nl,Wat veroorzaakt wiegedood?
1557,OTHER,it,Qual è la causa della sindrome di morte infantile improvvisa?
1558,OTHER,es,¿Cuál es la causa del Síndrome de la Muerte Súbita del Lactante?
1559,OTHER,en,What is the cause of Sudden Infant Death Syndrome?
1560,DATE,nl,In welk jaar was de Wereldtentoonstelling in Brussel?
1561,DATE,it,In quale anno si tenne a Bruxelles l'Esposizione Internazionale?
1562,DATE,es,¿En que año se celebró en Bruselas la Exposición Universal?
1563,DATE,en,In what year was the World Exhibition held in Brussels?
1564,PERSON,nl,Wie is de Hongaarse premier?
1565,PERSON,it,Chi è il Primo Ministro ungherese?
1566,PERSON,es,¿Quién es el primer ministro húngaro?
1567,PERSON,en,Who is the Hungarian prime minister?
1568,OTHER,nl,Hoe heet het besturingssysteem van Sun?
1569,OTHER,it,Come si chiama il sistema operativo Sun?
1570,OTHER,es,¿Cómo se llama el sistema operativo de Sun?
1571,OTHER,en,What is Sun's operating system called?
1572,OTHER,nl,Wat wordt wel de grootste show ter wereld genoemd?
1573,OTHER,it,Quale è stato definito il più grande spettacolo del mondo?
1574,OTHER,es,¿Qué espectáculo es considerado el más grande del mundo?
1575,OTHER,en,What has been called the biggest show on earth?
1576,LOCATION,nl,In welke Londense wijk staat het British Museum?
1577,LOCATION,it,In quale quartiere di Londra si trova il British Museum?
1578,LOCATION,es,¿En qué barrio de Londres se encuentra el Museo Británico?
1579,LOCATION,en,The British Museum is located in which neighbourhood of London?
1580,LOCATION,nl,In welk land kreeg de voormalige Haïtiaanse dictator Prosper Avril politiek asiel?
1581,LOCATION,it,In quale paese venne concesso asilo politico all'ex-dittatore haitiano Prosper Avril?
1582,LOCATION,es,¿En qué país se le ha garantizado asilo político al ex-dictador haitiano Prosper Avril?
1583,LOCATION,en,In which country was the former Haitian dictator Prosper Avril granted political asylum?
1584,OTHER,nl,Wat is de SAS-lijfspreuk?
1585,OTHER,it,Qual è il motto del SAS?
1586,OTHER,es,?Cuál es el lema de las SAS?
1587,OTHER,en,What is SAS's motto?
1588,DATE,nl,Wanneer werd Dzjochar Doedajev geboren?
1589,DATE,it,Quando nacque Giokhar Dudaiev?
1590,DATE,es,¿Cuándo nació Dzjochar Dudayev?
1591,DATE,en,When was Dzjochar Dudayev born?
1592,PERSON,nl,Wat is de echte naam van Snoop Doggy Dogg?
1593,PERSON,it,Qual è il vero nome di Snoop Doggy Dog?
1594,PERSON,es,¿Cuál es el verdadero nombre de Snoop Doggy Dogg?
1595,PERSON,en,What is Snoop Doggy Dogg's real name?
1596,LOCATION,nl,Waar werd de graftombe ontdekt van de Maya-keizer Kinich Ah Pop?
1597,LOCATION,it,Dove è stata rinveuta la tomba dell'imperatore Maya Kinich Ah Pop?
1598,LOCATION,es,¿Dónde fue descubierta la tumba del emperador maya Kinich Ah Pop?
1599,LOCATION,en,Where was discovered the tomb of the Mayan emperor Kinich Ah Pop?
1600,OTHER,nl,Wat is de officiele taal van Indonesie?
1601,OTHER,it,Qual è la lingua ufficiale in Indonesia?
1602,OTHER,es,¿Cuál es la lengua oficial de Indonesia?
1603,OTHER,en,What is the official language in Indonesia?
1604,DATE,nl,Wanneer was de militaire dictatuur in Argentini?
1605,DATE,it,Quando ci fu la dittatura militare in Argentina?
1606,DATE,es,¿En qué período hubo dictadura militar en argentina?
1607,DATE,en,When was Argentina's military dictatorship?
1608,OTHER,nl,Voor welk radiostation werkt Howard Stern?
1609,OTHER,it,Per quale stazione radio lavora Howard Stern?
1610,OTHER,es,¿En qué emisora de radio trabaja Howard Stern?
1611,OTHER,en,What radio station does Howard Stern work for?
1612,MEASURE,nl,Hoeveel geregistreerde aids-patienten telt Denemarken?
1613,MEASURE,it,Quanti pazienti registrati affetti da AIDS ci sono in Danimarca?
1614,MEASURE,es,¿Cuántos pacientes de SIDA hay en Dinamarca?
1615,MEASURE,en,How many registered AIDS patients do they have in Denmark?
1616,DATE,nl,Wanneer werd Walt Disney geboren?
1617,DATE,it,Quando nacque Walt Disney?
1618,DATE,es,¿Cuándo nació Walt Disney?
1619,DATE,en,When was Walt Disney born?
1620,LOCATION,nl,Waar ligt de vulkaan Popocatepetl?
1621,LOCATION,it,Dove si trova il vulcano Popocatepetl?
1622,LOCATION,es,¿Dónde está el volcán Popocatepetl?
1623,LOCATION,en,Where is the Popocatepetl volcano?
1624,DATE,nl,Wanneer leefde Pablo Neruda?
1625,DATE,it,Quando visse Pablo Neruda?
1626,DATE,es,¿En qué período vivió Pablo Neruda?
1627,DATE,en,When did Pablo Neruda live?
1628,PERSON,nl,Welke filantroop van Hongaarse afkomst staat bekend om zijn succesvolle financiële speculaties?
1629,PERSON,it,Quale filantropo di origine ungherese è conosciuto per il suo successo nella speculazione finanziaria?
1630,PERSON,es,¿Qué filántropo de ascendencia húngara es conocido por sus éxitos en especulación financiera?
1631,PERSON,en,Which philantropist of Hungarian descent is known for his success in financial speculation?
1632,LOCATION,nl,Waar groeide Paul Weller op?
1633,LOCATION,it,Dove è cresciuto Paul Weller?
1634,LOCATION,es,¿Dónde se crió Paul Weller?
1635,LOCATION,en,Where did Paul Weller grow up?
1636,PERSON,nl,Wie was de leider van de Angolese guerrillabeweging UNITA?
1637,PERSON,it,Chi era il capo del gruppo guerrigliero UNITA in Angola?
1638,PERSON,es,¿Quién es el líder del grupo guerrillero UNITA de Angola?
1639,PERSON,en,Who was the leader of the UNITA guerilla group in Angola?
1640,DATE,nl,Wat is de geboortedatum van Andre Agassi?
1641,DATE,it,Qual è la data di nascita di Andre Agassi?
1642,DATE,es,¿Cuál es la fecha del nacimiento de Andre Agassi?
1643,DATE,en,What is Andre Agassi's date of birth?
1644,PERSON,nl,Noem een oprichter van Apple.
1645,PERSON,it,Nomina uno dei fondatori dell'Apple.
1646,PERSON,es,Nombra uno de los fundadores de Apple.
1647,PERSON,en,Name one of the founders of Apple.
1648,PERSON,nl,Wie is de leider van de Japanse Aum Shinrikyo-sekte?
1649,PERSON,it,Chi è il capo della setta giapponese Aum Shinrikyo?
1650,PERSON,es,¿Quién es el líder de la secta japonesa Aum Shinrikyo?
1651,PERSON,en,Who is the leader of the Japanese Aum Shinrikyo cult?
1652,DATE,nl,Wanneer zal China Hongkong overnemen?
1653,DATE,it,Quando Hong Kong passerà alla Cina?
1654,DATE,es,¿Cuándo tomará China la posesión de Hong Kong?
1655,DATE,en,When will China take over Hongkong?
1656,PERSON,nl,"Wie regisseerde ""North by Northwest""?"
1657,PERSON,it,"Chi ha diretto ""Intrigo Internazionale""?"
1658,PERSON,es,"¿Quién dirigió ""Con la muerte en los talones""?"
1659,PERSON,en,"Who directed ""North by Northwest""?"
1660,MEASURE,nl,Hoe oud is Nick Leeson?
1661,MEASURE,it,Quanti anni ha Nick Leeson?
1662,MEASURE,es,¿Qué edad tiene Nick Leeson?
1663,MEASURE,en,How old is Nick Leeson?
1664,MEASURE,nl,Hoe lang is de Fiat 500?
1665,MEASURE,it,Quanto è lunga una Fiat 500?
1666,MEASURE,es,¿Qué longitud tiene un Fiat 500?
1667,MEASURE,en,How long is a Fiat 500?
1668,LOCATION,nl,Welk land trad als dertiende lidstaat tot de Europese Unie toe?
1669,LOCATION,it,Quale paese è diventato il tredicesimo membro dell'Unione Europea?
1670,LOCATION,es,¿Qué país se convirtió en el decimotercer miembro de la Unión Europea?
1671,LOCATION,en,Which country became the thirteenth member of the European Union?
1672,LOCATION,nl,In welk land heeft de Bengalese schrijfster Taslima Nasrin asiel gevraagd?
1673,LOCATION,it,In quale paese chiese asilo la scrittrice bengalese Taslima Nasrin?
1674,LOCATION,es,¿En qué país solicitó asilo la escritora bengalí Taslima Nasrin?
1675,LOCATION,en,In which country did the Bengali writer Taslima Nasrin apply for asylum?
1676,ORGANIZATION,nl,Hoe heet Nikki Laudas eigen luchtvaartmaatschappij?
1677,ORGANIZATION,it,Come si chiama la compagnia aerea di Niki Lauda?
1678,ORGANIZATION,es,¿Cómo se llaman las líneas aéreas de Nikki Lauda?
1679,ORGANIZATION,en,What is Nikki Lauda's airline called?
1680,MEASURE,nl,Hoeveel inwoners telt Aruba?
1681,MEASURE,it,Quanti abitanti ha Aruba?
1682,MEASURE,es,¿Cuántos habitantes tiene Aruba?
1683,MEASURE,en,How many inhabitants does Aruba have?
1684,ORGANIZATION,nl,Wat is de op drie na grootste bank in Venezuela?
1685,ORGANIZATION,it,Qual è la terza più grande banca del Venezuela?
1686,ORGANIZATION,es,¿Cuál es el tercer banco más grande de Venezuela?
1687,ORGANIZATION,en,What is the third largest bank in Venezuela?
1688,OTHER,nl,Wat is de grootste automatiseringsbeurs ter wereld?
1689,OTHER,it,Qual è la più grande fiera di tecnologia informatica al mondo?
1690,OTHER,es,¿Cuál es la feria comercial en tecnologías de la información mayor del mundo?
1691,OTHER,en,What is the world's largest IT trade fair?
1692,OTHER,nl,Hoe stierf Charles Bukowski?
1693,OTHER,it,Come morì Charles Bukowski?
1694,OTHER,es,¿De qué murió Charles Bukowski?
1695,OTHER,en,How did Charles Bukowski die?
1696,DATE,nl,Wanneer werd de republiek uitgeroepen in IJsland?
1697,DATE,it,Quando l'Islanda divenne una repubblica?
1698,DATE,es,¿Cuándo se instauró la República de Islandia?
1699,DATE,en,When did Iceland become a republic?
1700,OTHER,nl,Welke nationaliteit heeft de golfer Seve Ballesteros?
1701,OTHER,it,Di quale nazionalità è il giocatore di golf Seve Ballesteros?
1702,OTHER,es,¿De qué nacionalidad es el jugador de golf Seve Ballesteros?
1703,OTHER,en,"What is the nationality of Seve Ballesteros, the golf player?"
1704,PERSON,nl,Wat was de echte naam van Moeder Teresa?
1705,PERSON,it,Qual era il vero nome di Madre Teresa?
